Data;Gastos com COVID-19;Ação Governo Código;Ação Governo Nome;Ministério Código;Ministério Nome;Órgão UGE Código;Órgão UGE Nome;Natureza Despesa Código;Natureza Despesa Nome;Natureza Despesa Detalhada Código;Natureza Despesa Detalhada Nome;Modalidade Aplicação Código;Modalidade Aplicação Nome;Função Governo Código;Função Governo Nome;Subfunção Governo Código;Subfunção Governo Nome;Elemento Despesa Código;Elemento Despesa Nome;Fonte Recursos Código;Fonte Recursos Nome;Fonte Recursos Detalhada Código;Fonte Recursos Detalhada Nome;Tipo Crédito Código;Item Informação;Dotação Atualizada (R$);Dotação Atualizada (bilhões de R$);Despesas pagas (R$);Despesas pagas (bilhões de R$)
01/02/2020;Despesas Adicionais do Ministério da Saúde e Demais Ministérios;21C0;ENFRENTAMENTO DA EMERGENCIA DE SAUDE PUBLICA DE IMPORTANCIA;52000;MINISTERIO DA DEFESA;52000;MINISTERIO DA DEFESA;339000;APLICACOES DIRETAS;339000-9;NAO SE APLICA;90;APLICACOES DIRETAS;05;DEFESA NACIONAL;153;DEFESA TERRESTRE;00;[A DETALHAR];88;RECURSOS FINANCEIROS DE LIVRE APLICACAO;0188000000;RECURSOS FINANCEIROS DE LIVRE APLICACAO;G;EXTRAORDINARIO;1767673,11;0,001767673;;
01/02/2020;Despesas Adicionais do Ministério da Saúde e Demais Ministérios;21C0;ENFRENTAMENTO DA EMERGENCIA DE SAUDE PUBLICA DE IMPORTANCIA;52000;MINISTERIO DA DEFESA;52000;MINISTERIO DA DEFESA;339014;DIARIAS - PESSOAL CIVIL;339014-9;NAO SE APLICA;90;APLICACOES DIRETAS;05;DEFESA NACIONAL;153;DEFESA TERRESTRE;14;DIARIAS - PESSOAL CIVIL;88;RECURSOS FINANCEIROS DE LIVRE APLICACAO;0188000000;RECURSOS FINANCEIROS DE LIVRE APLICACAO;G;EXTRAORDINARIO;885;0,000000885;;
01/02/2020;Despesas Adicionais do Ministério da Saúde e Demais Ministérios;21C0;ENFRENTAMENTO DA EMERGENCIA DE SAUDE PUBLICA DE IMPORTANCIA;52000;MINISTERIO DA DEFESA;52000;MINISTERIO DA DEFESA;339015;DIARIAS - PESSOAL MILITAR;339015-9;NAO SE APLICA;90;APLICACOES DIRETAS;05;DEFESA NACIONAL;153;DEFESA TERRESTRE;15;DIARIAS - PESSOAL MILITAR;88;RECURSOS FINANCEIROS DE LIVRE APLICACAO;0188000000;RECURSOS FINANCEIROS DE LIVRE APLICACAO;G;EXTRAORDINARIO;561816,5;0,000561817;;
01/02/2020;Despesas Adicionais do Ministério da Saúde e Demais Ministérios;21C0;ENFRENTAMENTO DA EMERGENCIA DE SAUDE PUBLICA DE IMPORTANCIA;52000;MINISTERIO DA DEFESA;52000;MINISTERIO DA DEFESA;339030;MATERIAL DE CONSUMO;339030-9;NAO SE APLICA;90;APLICACOES DIRETAS;05;DEFESA NACIONAL;153;DEFESA TERRESTRE;30;MATERIAL DE CONSUMO;88;RECURSOS FINANCEIROS DE LIVRE APLICACAO;0188000000;RECURSOS FINANCEIROS DE LIVRE APLICACAO;G;EXTRAORDINARIO;3251081,42;0,003251081;;
01/02/2020;Despesas Adicionais do Ministério da Saúde e Demais Ministérios;21C0;ENFRENTAMENTO DA EMERGENCIA DE SAUDE PUBLICA DE IMPORTANCIA;52000;MINISTERIO DA DEFESA;52000;MINISTERIO DA DEFESA;339030;MATERIAL DE CONSUMO;33903009;MATERIAL FARMACOLOGICO;90;APLICACOES DIRETAS;05;DEFESA NACIONAL;153;DEFESA TERRESTRE;30;MATERIAL DE CONSUMO;88;RECURSOS FINANCEIROS DE LIVRE APLICACAO;0188000000;RECURSOS FINANCEIROS DE LIVRE APLICACAO;G;EXTRAORDINARIO;;;360;0,00000036
01/02/2020;Despesas Adicionais do Ministério da Saúde e Demais Ministérios;21C0;ENFRENTAMENTO DA EMERGENCIA DE SAUDE PUBLICA DE IMPORTANCIA;52000;MINISTERIO DA DEFESA;52000;MINISTERIO DA DEFESA;339030;MATERIAL DE CONSUMO;33903025;MATERIAL P/ MANUTENCAO DE BENS MOVEIS;90;APLICACOES DIRETAS;05;DEFESA NACIONAL;153;DEFESA TERRESTRE;30;MATERIAL DE CONSUMO;88;RECURSOS FINANCEIROS DE LIVRE APLICACAO;0188000000;RECURSOS FINANCEIROS DE LIVRE APLICACAO;G;EXTRAORDINARIO;;;592,5;5,925E-07
01/02/2020;Despesas Adicionais do Ministério da Saúde e Demais Ministérios;21C0;ENFRENTAMENTO DA EMERGENCIA DE SAUDE PUBLICA DE IMPORTANCIA;52000;MINISTERIO DA DEFESA;52000;MINISTERIO DA DEFESA;339030;MATERIAL DE CONSUMO;33903036;MATERIAL HOSPITALAR;90;APLICACOES DIRETAS;05;DEFESA NACIONAL;153;DEFESA TERRESTRE;30;MATERIAL DE CONSUMO;88;RECURSOS FINANCEIROS DE LIVRE APLICACAO;0188000000;RECURSOS FINANCEIROS DE LIVRE APLICACAO;G;EXTRAORDINARIO;;;126125;0,000126125
01/02/2020;Despesas Adicionais do Ministério da Saúde e Demais Ministérios;21C0;ENFRENTAMENTO DA EMERGENCIA DE SAUDE PUBLICA DE IMPORTANCIA;52000;MINISTERIO DA DEFESA;52000;MINISTERIO DA DEFESA;339033;PASSAGENS E DESPESAS COM LOCOMOCAO;339033-9;NAO SE APLICA;90;APLICACOES DIRETAS;05;DEFESA NACIONAL;153;DEFESA TERRESTRE;33;PASSAGENS E DESPESAS COM LOCOMOCAO;88;RECURSOS FINANCEIROS DE LIVRE APLICACAO;0188000000;RECURSOS FINANCEIROS DE LIVRE APLICACAO;G;EXTRAORDINARIO;25613,67;2,56137E-05;;
01/02/2020;Despesas Adicionais do Ministério da Saúde e Demais Ministérios;21C0;ENFRENTAMENTO DA EMERGENCIA DE SAUDE PUBLICA DE IMPORTANCIA;52000;MINISTERIO DA DEFESA;52000;MINISTERIO DA DEFESA;339033;PASSAGENS E DESPESAS COM LOCOMOCAO;33903396;PASSAGENS E DESP.C/LOCOMOCAO-PAGTO ANTECIPADO;90;APLICACOES DIRETAS;05;DEFESA NACIONAL;153;DEFESA TERRESTRE;33;PASSAGENS E DESPESAS COM LOCOMOCAO;88;RECURSOS FINANCEIROS DE LIVRE APLICACAO;0188000000;RECURSOS FINANCEIROS DE LIVRE APLICACAO;G;EXTRAORDINARIO;;;4633;0,000004633
01/02/2020;Despesas Adicionais do Ministério da Saúde e Demais Ministérios;21C0;ENFRENTAMENTO DA EMERGENCIA DE SAUDE PUBLICA DE IMPORTANCIA;52000;MINISTERIO DA DEFESA;52000;MINISTERIO DA DEFESA;339039;OUTROS SERVICOS DE TERCEIROS - PESSOA JURIDICA;339039-9;NAO SE APLICA;90;APLICACOES DIRETAS;05;DEFESA NACIONAL;153;DEFESA TERRESTRE;39;OUTROS SERVICOS DE TERCEIROS PJ - OP.INT.ORC.;88;RECURSOS FINANCEIROS DE LIVRE APLICACAO;0188000000;RECURSOS FINANCEIROS DE LIVRE APLICACAO;G;EXTRAORDINARIO;4036197,3;0,004036197;;
